資料名/Title,解題/Description,"出版事項/Publication, Discribution, etc.Area",数量/Unit,日付/Date,所蔵/Location,所蔵年次/Year,所蔵巻号/Volumes,請求記号/Call No.,資料区分/Document Categoly,データ形式/Format,本文言語/Language,Place,備考/Comments,書誌番号/Bib.ID,ライセンス/License,アイテムURL,Is Referenced By,形態/Physical Descriptin Area,数量/Unit,日付/Date,西暦/A.D.,コレクション1,所蔵/Location,請求記号/Call No.,資料区分/Document Categoly,公開方法/Media Type,本文言語/Language,地域/Region,印記/Seal,日付2/Date 2,西暦2/A.D.2,備考/Coments,請求記号,和暦：年月日（始）,和暦：年月日（終）,西暦：年月日（始）,西暦：年月日（終）,備考,コレクション2,コレクション3,No.,帖整理番号,種別,帖年月次,巻次,表題,文書番号,元号,年,月,西暦年,宛名,宛名原綴,差出人1,日,差出人2,差出人3,差出人4,差出人5,差出人6,差出人7,差出人8,差出人9,差出人10,iiif viewer,ID,ウェブサイトURL,サムネイル,機械可読ドキュメント,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:description,dcterms:publisher,dcterms:extent,dcterms:date,sc:attributionLabel,dcndl:holdingIssues,dcndl:volume,dcndl:callNumber,dcterms:type,dcterms:format,dcterms:language,dcterms:spatial,rdfs:comment,dcterms:identifier,dcterms:rights,dcterms:relation,dcterms:isReferencedBy,law:physicalDescriptinArea,law:unit,law:date,law:ad,law:collection1,law:location,law:callNo,law:document,law:mediaType,law:language,law:region,law:seal,law:date2,law:ad2,law:comments,law:seikyukigo,law:warekiDateStart,law:warekiDateEnd,law:seirekiDateStart,law:seirekiDateEnd,law:biko,law:collection2,law:collection3,law:no,law:choSeiriBango,law:syubetsu,law:choNengappi,law:kanji,law:hyodai,law:bunsyoBango,law:gengo,law:nen,law:tsuki,law:seirekinen,law:atena,law:atenaGentetsu,law:sashidashinin1,law:nichi,law:sashidashinin2,law:sashidashinin3,law:sashidashinin4,law:sashidashinin5,law:sashidashinin6,law:sashidashinin7,law:sashidashinin8,law:sashidashinin9,law:sashidashinin10,iiif viewer,bibo:identifier,dcterms:isPartOf,foaf:thumbnail,rdfs:seeAlso,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,7139
甲州法度之次第,"【解題】甲州法度之次第(東京大学法学部法制史資料室所蔵本)
甲斐国(現在の山梨県)に本拠を持った戦国大名武田晴信(信玄)が、 その支配する領国を統治するために制定した分国法。家臣に対する種々の規律を主内容とし、 全体的に隣国駿河の今川氏の「今川かな目録」の強い影響が認められる。

「甲州法度之次第」と呼ばれるものには大別して26箇条本と55箇条(プラス追加2箇条)本の二種の伝本があり、 前者が天文16(1547)年6月に成立した原型、それを基に増補改訂を経て55箇条に整理された後、 天文23(1554)年5月にさらに2箇条が追加されて成立したのが後者、と考えられている。 『甲陽軍鑑』に採録されるなどして世上に多く流布したのは後者の系統だが、 この系統に属する諸本にはなお種々の異同があり、 流布本が成立するまでにはさらに若干の経緯があったと推測されるものの、詳細は明らかではない。

法制史資料室所蔵本は流布本系の代表的な一本で、冒頭の表題部分に円形重郭龍文の朱印判一顆が捺され、 末尾には「天正八庚辰年二月十七日書之」とある。冒頭の印判は信玄が天文12(1543)年以降用い、 天正元(1573)年の信玄死後は嗣子勝頼が天正10(1582)年の武田氏滅亡に至るまで襲用したものである。 従って該本は武田勝頼のもとで作成されたものと認められ、当時通用の「法度」を伝える最善本と評価される。 佐藤進一・池内義資・百瀬今朝雄編『中世法制史料集 第三巻 武家家法I』(岩波書店 1965年) 所収「甲州法度之次第」の底本として用いられるなど、学界においても「甲州法度之次第」の標準的なテクストとして認知されている。 鳥の子紙27枚を継ぎ合わせ、裏打ちを施して成巻され、第一紙裏に「東京帝国大學圖書印」一顆が捺されている。",,巻子; 1巻,天正8年/1580,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,甲:2:3693,古文書;Historical Documents,,,,,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/102a847a-ea96-464a-84ba-cb714696bfbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/102a847a-ea96-464a-84ba-cb714696bfbd.json,102a847a-ea96-464a-84ba-cb714696bfbd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koshu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18a84b80ff2fbee46b02f9ac3c6f473376ce8c7d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/10,,,甲州法度之次第,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/102a847a-ea96-464a-84ba-cb714696bfbd/manifest,https://w3id.org/dhj/i3sa/https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/xml/102a847a-ea96-464a-84ba-cb714696bfbd.xml,https://iiif.dl.itc.u-tokyo.ac.jp/omekac/oa/collections/10/manifest.json,http://tapasproject.org/tapas-commons/files/甲州法度之次第,https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/rtf/102a847a-ea96-464a-84ba-cb714696bfbd.rtf,1
大坂町中江出寺請状諸宗寺々五人組判形帳,"大坂町中(現在の大阪市主部)及び近郊の寺院の判形(印鑑影)を、宗派別さらに「五人組」と呼ぶ寺院グループごとに集録した台帳。元禄8年(1695)に大坂町奉行所において作成され管下の町々に頒布されて、寺院から発行される証文類の確認の必要に備えたものと思われる。冊末には、宗旨手形や家数証文の書式雛型、奉行所から町々に宛てられた触書などの関係書類が収められている。法制史資料室所蔵本は南農人町壱丁目に下付され町年寄の手許において管理使用されていたものだが、同タイトルで淡路町弐丁目に伝存したものが大阪府立図書館に所蔵されており、「おおさかeコレクション」*で閲覧できるため比較対照に好便である。
*http://e-library2.gprime.jp/lib_pref_osaka/da/detail?tilcod=0000000005-00001695
頒布後に寺の改称・改印があった場合にはその都度注記修正が施されて明治初年に至っており、情報を更新しながら170余年にわたり実務の用に供されていたことが窺える。注記修正に際して木版刷りの紙片を貼付した場合があり、寺院からの届出を受けた奉行所から各町に一斉配布されたのであろう。法制史資料室所蔵本と大阪府立図書館所蔵本の注記修正箇所を比較すると若干の出入や精粗の差があり、自町と関係の薄い改印情報は脱落する場合があったものかと思われる。両者比較対照することによって、近世中後期の大坂における寺院のプレゼンスの一端を、立体的に窺うことができるであろう。",,竪帳; 1冊,元禄8年/1695,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,甲:2:1291,古文書;Historical Documents,,jpn,ja,南農人町壱丁目に伝存したもの,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/d1297638-951b-4f15-9fb1-55d98b8e36ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1297638-951b-4f15-9fb1-55d98b8e36ac.json,d1297638-951b-4f15-9fb1-55d98b8e36ac,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5d4145ecb08b761f3da9d7d4a528f2dcf9307a99.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/21833,http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学法学部法制史資料室所蔵コレクション,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1297638-951b-4f15-9fb1-55d98b8e36ac/manifest,,,,,126
御前落居記録,室町幕府第六代将軍足利義教のもとで行われた政務上の案件処理手続である「御前沙汰」の記録史料。「御前沙汰」においては、通常二人一組で案件を担当する奉行人から、1案件処理の原案を将軍に上程して裁可を仰ぎ、2将軍の裁可を得たものについては「奉行人奉書」と呼ばれる文書を作成して関係者に執達する。1の手続を記録したものが『御前落居記録』(以下「記録」)、2の文書の発給手控えとして残されたものが『御前落居奉書』(以下「奉書」)である。現代に伝存するのはいずれも永享2年(1430)から同4年(1432)のもので、法制史資料室所蔵の「記録」は義教自身が花押(サイン)を据えて裁可を与えた原本、「奉書」は遅くとも文明年間(1469-1487)までに筆写された写本と考えられている。「記録」には72件、「奉書」には118件が記録されている。両者の内容は必ずしも相対応するものではなく、いずれにせよこの時期の「御前沙汰」の全貌が記録されているわけではないが、中期室町幕府の「裁判」を研究する上での最重要の史料である。桑山浩然校訂『室町幕府引付史料集成 上巻』(近藤出版社1980)に翻刻収録されている。,,竪帳; 1冊,永享2-4年/1430-1432,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,甲:2:523,古文書;Historical Documents,,日本語,日本,印記: 「宮崎蔵書」「運甓斎蔵書記」; 備考: 甲:2:524同帙入,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/d507a810-cff7-4168-bc10-70a32a55920f,http://www.tapasproject.org/tapas-commons/files/御前落居記録,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d507a810-cff7-4168-bc10-70a32a55920f.json,d507a810-cff7-4168-bc10-70a32a55920f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e9d71e8b2c97cfbbff4fcf9d470629b0bacbdb1b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/21834,http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学法学部法制史資料室所蔵コレクション,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d507a810-cff7-4168-bc10-70a32a55920f/manifest,https://w3id.org/dhj/i3sa/https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/xml/d507a810-cff7-4168-bc10-70a32a55920f.xml,https://iiif.dl.itc.u-tokyo.ac.jp/omekac/oa/collections/17/manifest.json,,https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/rtf/d507a810-cff7-4168-bc10-70a32a55920f.rtf,91
御前落居奉書,室町幕府第六代将軍足利義教のもとで行われた政務上の案件処理手続である「御前沙汰」の記録史料。「御前沙汰」においては、通常二人一組で案件を担当する奉行人から、1案件処理の原案を将軍に上程して裁可を仰ぎ、2将軍の裁可を得たものについては「奉行人奉書」と呼ばれる文書を作成して関係者に執達する。1の手続を記録したものが『御前落居記録』(以下「記録」)、2の文書の発給手控えとして残されたものが『御前落居奉書』(以下「奉書」)である。現代に伝存するのはいずれも永享2年(1430)から同4年(1432)のもので、法制史資料室所蔵の「記録」は義教自身が花押(サイン)を据えて裁可を与えた原本、「奉書」は遅くとも文明年間(1469-1487)までに筆写された写本と考えられている。「記録」には72件、「奉書」には118件が記録されている。両者の内容は必ずしも相対応するものではなく、いずれにせよこの時期の「御前沙汰」の全貌が記録されているわけではないが、中期室町幕府の「裁判」を研究する上での最重要の史料である。桑山浩然校訂『室町幕府引付史料集成 上巻』(近藤出版社1980)に翻刻収録されている。,,竪帳; 1冊,永享2-4年/室町時代中期/1430-1432/-c1480,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,甲:2:524,古文書;Historical Documents,,日本語,日本,印記: 「宮崎蔵書」「運甓斎蔵書記」; 備考: 室町時代中期写。甲:2:523同帙入,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/4791f609-8567-48cd-96a2-9eb8157aac11,http://www.tapasproject.org/tapas-commons/files/御前落居奉書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4791f609-8567-48cd-96a2-9eb8157aac11.json,4791f609-8567-48cd-96a2-9eb8157aac11,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/077d01b9dfaff5c86e6065c44df4fa9d44070963.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/21835,http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学法学部法制史資料室所蔵コレクション,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4791f609-8567-48cd-96a2-9eb8157aac11/manifest,https://w3id.org/dhj/i3sa/https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/xml/4791f609-8567-48cd-96a2-9eb8157aac11.xml,https://iiif.dl.itc.u-tokyo.ac.jp/omekac/oa/collections/18/manifest.json,,https://archdataset.dl.itc.u-tokyo.ac.jp/collections/law/text/rtf/4791f609-8567-48cd-96a2-9eb8157aac11.rtf,77
Auslandsrecht : Blätter für Industrie und Handel : Organ des Instituts für ausländisches Recht beim Reichsverband der deutschen Industrie,,Leonhard Simion Nf,6冊,1921-1922,"東京大学法学部研究室図書室 ; Faculty of Law Library, the University of Tokyo",1921-1922,"Nr. 1-6, 3. Jahrg.",NB::247,雑誌;Serials,jpeg,ドイツ語,ドイツ連邦共和国,,3000001573,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/a1a320db-682a-4846-b99f-9414f6a17a2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1a320db-682a-4846-b99f-9414f6a17a2c.json,a1a320db-682a-4846-b99f-9414f6a17a2c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dced11b359a295c948d42c7ac5db74cb0a0ac167.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22146,,,東京大学法学部法制史資料室所蔵コレクション,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1a320db-682a-4846-b99f-9414f6a17a2c/manifest,,,,,56
周防與田保文書,,,,,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,,,,,,,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/7e38415c-4dd5-4007-8ec8-052c8fe75828,,巻子,1巻,保5年-正安元年,1217-1299,東京大学法学部法制史資料室所蔵コレクション,"東京大学法学部研究室図書室法制史資料室;Legal History Section, Faculty of Law Library, the University of Tokyo",甲2-1176,古文書;Historical Documents,オンライン;Online,jpn,ja,「宮崎蔵書」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e38415c-4dd5-4007-8ec8-052c8fe75828.json,7e38415c-4dd5-4007-8ec8-052c8fe75828,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad33f1a795d9c772cd899529903d3b8de959991c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/441303,,,,01100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e38415c-4dd5-4007-8ec8-052c8fe75828/manifest,,,,,1
美濃國茜部庄文書,,,,,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,,,,,,,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/d7129511-031b-4cfc-a522-4c44ded12279,,巻子,1巻,治暦2年,1066,東京大学法学部法制史資料室所蔵コレクション,"東京大学法学部研究室図書室法制史資料室;Legal History Section, Faculty of Law Library, the University of Tokyo",甲2-1185,古文書;Historical Documents,オンライン;Online,jpn,ja,「宮崎蔵書」,長久元年-永久4年,1040-1116,太政官符宣 下美濃國 治暦2年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d7129511-031b-4cfc-a522-4c44ded12279.json,d7129511-031b-4cfc-a522-4c44ded12279,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/17c7fdd6354a7f99c12500d6478c1e5dca428a1c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/441304,,,,01101,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d7129511-031b-4cfc-a522-4c44ded12279/manifest,,,,,1
書翰抜萃 一,,,,,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,,,,,,,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/69a9074f-abaa-42e8-baae-40c6ac744d65,,,,,,東京大学法学部法制史資料室所蔵コレクション,,,,,,,,,,,甲16-327,安政六年未七月十八日,明治五年壬申十一月廿四日,[1859年8月16日],[1872年12月24日],旧幕府外國事務掛及明治政府より英國公使館宛書翰写,英国大使館文書,日本側より英国公使館宛公示文書抜粋,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/69a9074f-abaa-42e8-baae-40c6ac744d65.json,69a9074f-abaa-42e8-baae-40c6ac744d65,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bec3e8cc75be3502afaca0c4b1fc384b1e830848.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/441408,,,,01102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/69a9074f-abaa-42e8-baae-40c6ac744d65/manifest,,,,,56
書翰抜萃 二,,,,,"東京大学法学部研究室図書室法制史資料室 / Legal History Section, Faculty of Law Library, the University of Tokyo",,,,,,,,,,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/document/56f412b5-0705-4e13-b7ce-93d56690c752,,,,,,東京大学法学部法制史資料室所蔵コレクション,,,,,,,,,,,甲16-327,安政六未年七月朔日,慶應二寅年二月廿八日,[1859年7月30日],[1866年4月13日],旧幕府外國事務掛及明治政府より英國公使館宛書翰写,英国大使館文書,日本側より英国公使館宛公示文書抜粋,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56f412b5-0705-4e13-b7ce-93d56690c752.json,56f412b5-0705-4e13-b7ce-93d56690c752,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/law/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3472626041cfedaab1a98af980f5a07aedc60b30.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/441409,,,,01103,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56f412b5-0705-4e13-b7ce-93d56690c752/manifest,,,,,52
